Peripheral,Function,Assignment,Pin Number,Direction,Remarks,Comments
CAN module,CTX1,Not assigned,Not assigned,None,,""
CAN module,CTX0,Not assigned,Not assigned,None,,""
CAN module,CRX2,Not assigned,Not assigned,None,,""
CAN module,CRX1,Not assigned,Not assigned,None,,""
CAN module,CRX0,Not assigned,Not assigned,None,,""
Serial peripheral interface,RSPCKC,PD3/D3/MTIOC8D/TOC2/POE8#/GTIOC0A/RSPCKC-A/ET1_WOL/QIO3-B/SDHI_D3-B/MMC_D3-B/LCD_DATA21-B/IRQ3/AN111,123,IO,There is no software initialising this pin,"HOST_SCLK"
Serial peripheral interface,RSPCKA,Not assigned,Not assigned,None,,""
Serial peripheral interface,RSPCKB,Not assigned,Not assigned,None,,""
Serial peripheral interface,MISOC,PD2/D2/MTIOC4D/TIC2/GTIOC0B/MISOC-A/CRX0/ET1_EXOUT/QIO2-B/SDHI_D2-B/MMC_D2-B/LCD_DATA22-B/IRQ2/AN110,124,IO,There is no software initialising this pin,"HOST_CIPO"
Serial peripheral interface,MISOB,Not assigned,Not assigned,None,,""
Serial peripheral interface,MISOA,Not assigned,Not assigned,None,,""
Serial peripheral interface,SSLA0,Not assigned,Not assigned,None,,""
Serial peripheral interface,SSLA1,Not assigned,Not assigned,None,,""
Serial peripheral interface,SSLA2,Not assigned,Not assigned,None,,""
Serial peripheral interface,SSLA3,Not assigned,Not assigned,None,,""
Serial peripheral interface,SSLC0,PD4/D4/MTIOC8B/POE11#/SSLC0-A/ET1_MDIO/PMGI1_MDIO/QSSL-B/SDHI_CMD-B/MMC_CMD-B/LCD_DATA20-B/IRQ4/AN112,122,IO,There is no software initialising this pin,"HOST_CS0"
Serial peripheral interface,SSLC1,Not assigned,Not assigned,None,,""
Serial peripheral interface,SSLC2,Not assigned,Not assigned,None,,""
Serial peripheral interface,SSLC3,Not assigned,Not assigned,None,,""
Serial peripheral interface,SSLB0,Not assigned,Not assigned,None,,""
Serial peripheral interface,SSLB1,Not assigned,Not assigned,None,,""
Serial peripheral interface,SSLB2,Not assigned,Not assigned,None,,""
Serial peripheral interface,SSLB3,Not assigned,Not assigned,None,,""
Serial peripheral interface,MOSIB,Not assigned,Not assigned,None,,""
Serial peripheral interface,MOSIC,PD1/D1/MTIOC4B/POE0#/GTIOC1A/MOSIC-A/CTX0/LCD_DATA23-B/IRQ1/AN109,125,IO,There is no software initialising this pin,"HOST_COPI"
Serial peripheral interface,MOSIA,Not assigned,Not assigned,None,,""
Quad serial peripheral interface,QSPCLK,Not assigned,Not assigned,None,,""
Quad serial peripheral interface,QMI,Not assigned,Not assigned,None,,""
Quad serial peripheral interface,QMO,Not assigned,Not assigned,None,,""
Quad serial peripheral interface,QIO3,Not assigned,Not assigned,None,,""
Quad serial peripheral interface,QIO0,Not assigned,Not assigned,None,,""
Quad serial peripheral interface,QIO2,Not assigned,Not assigned,None,,""
Quad serial peripheral interface,QIO1,Not assigned,Not assigned,None,,""
Quad serial peripheral interface,QSSL,Not assigned,Not assigned,None,,""
Serial sound interface enhanced,SSIDATA1,Not assigned,Not assigned,None,,""
Serial sound interface enhanced,SSILRCK0,Not assigned,Not assigned,None,,""
Serial sound interface enhanced,SSILRCK1,Not assigned,Not assigned,None,,""
Serial sound interface enhanced,AUDIO_CLK,Not assigned,Not assigned,None,,""
Serial sound interface enhanced,SSIBCK0,Not assigned,Not assigned,None,,""
Serial sound interface enhanced,SSIBCK1,Not assigned,Not assigned,None,,""
Serial sound interface enhanced,SSIRXD0,Not assigned,Not assigned,None,,""
Serial sound interface enhanced,SSITXD0,Not assigned,Not assigned,None,,""
MMC host interface,MMC_RES#,Not assigned,Not assigned,None,,""
MMC host interface,MMC_D2,Not assigned,Not assigned,None,,""
MMC host interface,MMC_D3,Not assigned,Not assigned,None,,""
MMC host interface,MMC_D0,Not assigned,Not assigned,None,,""
MMC host interface,MMC_D1,Not assigned,Not assigned,None,,""
MMC host interface,MMC_D6,Not assigned,Not assigned,None,,""
MMC host interface,MMC_D7,Not assigned,Not assigned,None,,""
MMC host interface,MMC_D4,Not assigned,Not assigned,None,,""
MMC host interface,MMC_D5,Not assigned,Not assigned,None,,""
MMC host interface,MMC_CD,Not assigned,Not assigned,None,,""
MMC host interface,MMC_CLK,Not assigned,Not assigned,None,,""
MMC host interface,MMC_CMD,Not assigned,Not assigned,None,,""
SD host interface,SDHI_CMD,Not assigned,Not assigned,None,,""
SD host interface,SDHI_CLK,Not assigned,Not assigned,None,,""
SD host interface,SDHI_WP,Not assigned,Not assigned,None,,""
SD host interface,SDHI_CD,Not assigned,Not assigned,None,,""
SD host interface,SDHI_D3,Not assigned,Not assigned,None,,""
SD host interface,SDHI_D2,Not assigned,Not assigned,None,,""
SD host interface,SDHI_D1,Not assigned,Not assigned,None,,""
SD host interface,SDHI_D0,Not assigned,Not assigned,None,,""
Parallel data capture unit,PIXD0,Not assigned,Not assigned,None,,""
Parallel data capture unit,PIXD2,Not assigned,Not assigned,None,,""
Parallel data capture unit,PIXD1,Not assigned,Not assigned,None,,""
Parallel data capture unit,PIXD4,Not assigned,Not assigned,None,,""
Parallel data capture unit,PIXD3,Not assigned,Not assigned,None,,""
Parallel data capture unit,PCKO,Not assigned,Not assigned,None,,""
Parallel data capture unit,PIXD6,Not assigned,Not assigned,None,,""
Parallel data capture unit,PIXD5,Not assigned,Not assigned,None,,""
Parallel data capture unit,PIXD7,Not assigned,Not assigned,None,,""
Parallel data capture unit,HSYNC,Not assigned,Not assigned,None,,""
Parallel data capture unit,VSYNC,Not assigned,Not assigned,None,,""
Parallel data capture unit,PIXCLK,Not assigned,Not assigned,None,,""
Graphic-LCD controller,LCD_TCON3,Not assigned,Not assigned,None,,""
Graphic-LCD controller,LCD_TCON2,Not assigned,Not assigned,None,,""
Graphic-LCD controller,LCD_TCON1,Not assigned,Not assigned,None,,""
Graphic-LCD controller,LCD_TCON0,Not assigned,Not assigned,None,,""
Graphic-LCD controller,LCD_EXTCLK,Not assigned,Not assigned,None,,""
Graphic-LCD controller,LCD_CLK,Not assigned,Not assigned,None,,""
Graphic-LCD controller,LCD_DATA21,Not assigned,Not assigned,None,,""
Graphic-LCD controller,LCD_DATA20,Not assigned,Not assigned,None,,""
Graphic-LCD controller,LCD_DATA23,Not assigned,Not assigned,None,,""
Graphic-LCD controller,LCD_DATA22,Not assigned,Not assigned,None,,""
Graphic-LCD controller,LCD_DATA18,Not assigned,Not assigned,None,,""
Graphic-LCD controller,LCD_DATA17,Not assigned,Not assigned,None,,""
Graphic-LCD controller,LCD_DATA16,Not assigned,Not assigned,None,,""
Graphic-LCD controller,LCD_DATA15,Not assigned,Not assigned,None,,""
Graphic-LCD controller,LCD_DATA19,Not assigned,Not assigned,None,,""
Graphic-LCD controller,LCD_DATA10,Not assigned,Not assigned,None,,""
Graphic-LCD controller,LCD_DATA14,Not assigned,Not assigned,None,,""
Graphic-LCD controller,LCD_DATA13,Not assigned,Not assigned,None,,""
Graphic-LCD controller,LCD_DATA12,Not assigned,Not assigned,None,,""
Graphic-LCD controller,LCD_DATA11,Not assigned,Not assigned,None,,""
Graphic-LCD controller,LCD_DATA0,Not assigned,Not assigned,None,,""
Graphic-LCD controller,LCD_DATA1,Not assigned,Not assigned,None,,""
Graphic-LCD controller,LCD_DATA2,Not assigned,Not assigned,None,,""
Graphic-LCD controller,LCD_DATA3,Not assigned,Not assigned,None,,""
Graphic-LCD controller,LCD_DATA4,Not assigned,Not assigned,None,,""
Graphic-LCD controller,LCD_DATA5,Not assigned,Not assigned,None,,""
Graphic-LCD controller,LCD_DATA6,Not assigned,Not assigned,None,,""
Graphic-LCD controller,LCD_DATA7,Not assigned,Not assigned,None,,""
Graphic-LCD controller,LCD_DATA8,Not assigned,Not assigned,None,,""
Graphic-LCD controller,LCD_DATA9,Not assigned,Not assigned,None,,""
Realtime clock,RTCIC0,Not assigned,Not assigned,None,,""
Realtime clock,RTCIC1,Not assigned,Not assigned,None,,""
Realtime clock,RTCIC2,Not assigned,Not assigned,None,,""
Realtime clock,RTCOUT,Not assigned,Not assigned,None,,""
12-bit A/D converter,ADTRG1#,Not assigned,Not assigned,None,,""
12-bit A/D converter,AN104,Not assigned,Not assigned,None,,""
12-bit A/D converter,AN105,Not assigned,Not assigned,None,,""
12-bit A/D converter,AN106,Not assigned,Not assigned,None,,""
12-bit A/D converter,AN107,Not assigned,Not assigned,None,,""
12-bit A/D converter,AN108,Not assigned,Not assigned,None,,""
12-bit A/D converter,AN109,Not assigned,Not assigned,None,,""
12-bit A/D converter,AN100,Not assigned,Not assigned,None,,""
12-bit A/D converter,AN101,Not assigned,Not assigned,None,,""
12-bit A/D converter,AN102,Not assigned,Not assigned,None,,""
12-bit A/D converter,AN103,Not assigned,Not assigned,None,,""
12-bit A/D converter,ANEX0,Not assigned,Not assigned,None,,""
12-bit A/D converter,ANEX1,Not assigned,Not assigned,None,,""
12-bit A/D converter,AN005,P45/IRQ13/AN005,135,I,There is no software initialising this pin,"MOTOR2_ISENSE"
12-bit A/D converter,AN006,P46/IRQ14/AN006,134,I,There is no software initialising this pin,"MOTOR1_ISENSE"
12-bit A/D converter,AN007,P47/IRQ15/AN007,133,I,There is no software initialising this pin,"MOTOR0_ISENSE"
12-bit A/D converter,AN120,Not assigned,Not assigned,None,,""
12-bit A/D converter,AN000,Not assigned,Not assigned,None,,""
12-bit A/D converter,AN001,Not assigned,Not assigned,None,,""
12-bit A/D converter,AN002,Not assigned,Not assigned,None,,""
12-bit A/D converter,AN003,Not assigned,Not assigned,None,,""
12-bit A/D converter,AN004,P44/IRQ12/AN004,136,I,There is no software initialising this pin,"MOTOR3_ISENSE"
12-bit A/D converter,AN115,Not assigned,Not assigned,None,,""
12-bit A/D converter,AN116,Not assigned,Not assigned,None,,""
12-bit A/D converter,AN117,Not assigned,Not assigned,None,,""
12-bit A/D converter,AN118,Not assigned,Not assigned,None,,""
12-bit A/D converter,AN119,Not assigned,Not assigned,None,,""
12-bit A/D converter,AN110,Not assigned,Not assigned,None,,""
12-bit A/D converter,AN111,Not assigned,Not assigned,None,,""
12-bit A/D converter,AN112,Not assigned,Not assigned,None,,""
12-bit A/D converter,AN113,Not assigned,Not assigned,None,,""
12-bit A/D converter,AN114,Not assigned,Not assigned,None,,""
12-bit A/D converter,ADTRG0#,Not assigned,Not assigned,None,,""
12-bit D/A converter,DA0,Not assigned,Not assigned,None,,""
12-bit D/A converter,DA1,Not assigned,Not assigned,None,,""
Digital power supply,VBATT,VBATT,15,-,Read only,""
Digital power supply,VSS,VSS,12/21/57/76/93/105/116/130,-,Read only,""
Digital power supply,VCC,VCC,23/59/74/91/103/118/132,-,Read only,""
Digital power supply,VCL,VCL,14,-,Read only,""
Analog power supply,AVCC1,AVCC1,3,-,Read only,""
Analog power supply,AVCC0,AVCC0,143,-,Read only,""
Analog power supply,VREFH0,VREFH0,142,-,Read only,""
Analog power supply,VREFL0,VREFL0,140,-,Read only,""
Analog power supply,AVSS1,AVSS1,5,-,Read only,""
Analog power supply,AVSS0,AVSS0,1,-,Read only,""
I/O Ports,PA0,Not assigned,Not assigned,None,,""
I/O Ports,PA2,Not assigned,Not assigned,None,,""
I/O Ports,PA1,Not assigned,Not assigned,None,,""
I/O Ports,PA4,Not assigned,Not assigned,None,,""
I/O Ports,PA3,Not assigned,Not assigned,None,,""
I/O Ports,PA6,Not assigned,Not assigned,None,,""
I/O Ports,PA5,Not assigned,Not assigned,None,,""
I/O Ports,PA7,Not assigned,Not assigned,None,,""
I/O Ports,PB1,Not assigned,Not assigned,None,,""
I/O Ports,PB0,Not assigned,Not assigned,None,,""
I/O Ports,PB3,Not assigned,Not assigned,None,,""
I/O Ports,PB2,Not assigned,Not assigned,None,,""
I/O Ports,PB5,PB5/A13/MTIOC2A/MTIOC1B/TIOCB4/TMRI1/PO29/POE4#/SCK9/RTS9#/SCK11/ET0_ETXD0/RMII0_TXD0/LCD_CLK-B,80,IO,There is no software initialising this pin,"DRV_CS2"
I/O Ports,PB4,PB4/A12/TIOCA4/PO28/CTS9#/SS9#/SS11#/CTS11#/RTS11#/ET0_TX_EN/RMII0_TXD_EN/LCD_TCON0-B,81,IO,There is no software initialising this pin,"DRV_CS3"
I/O Ports,PB7,Not assigned,Not assigned,None,,""
I/O Ports,PB6,Not assigned,Not assigned,None,,""
I/O Ports,PC0,Not assigned,Not assigned,None,,""
I/O Ports,PC2,Not assigned,Not assigned,None,,""
I/O Ports,PC1,PC1/A17/MTIOC3A/TCLKD/PO18/SCK5/SSLA2-A/ET0_ERXD2/IRQ12,73,IO,There is no software initialising this pin,"DRV_CS1"
I/O Ports,PC4,Not assigned,Not assigned,None,,""
I/O Ports,PC3,Not assigned,Not assigned,None,,""
I/O Ports,PC6,Not assigned,Not assigned,None,,""
I/O Ports,PC5,Not assigned,Not assigned,None,,""
I/O Ports,PC7,Not assigned,Not assigned,None,,""
I/O Ports,PD1,Not assigned,Not assigned,None,,""
I/O Ports,PD0,Not assigned,Not assigned,None,,""
I/O Ports,PD3,Not assigned,Not assigned,None,,""
I/O Ports,PD2,Not assigned,Not assigned,None,,""
I/O Ports,PD5,Not assigned,Not assigned,None,,""
I/O Ports,PD4,Not assigned,Not assigned,None,,""
I/O Ports,PD7,Not assigned,Not assigned,None,,""
I/O Ports,PD6,Not assigned,Not assigned,None,,""
I/O Ports,PE0,Not assigned,Not assigned,None,,""
I/O Ports,PE2,Not assigned,Not assigned,None,,""
I/O Ports,PE1,Not assigned,Not assigned,None,,""
I/O Ports,PE4,Not assigned,Not assigned,None,,""
I/O Ports,PE3,Not assigned,Not assigned,None,,""
I/O Ports,PE6,Not assigned,Not assigned,None,,""
I/O Ports,PE5,Not assigned,Not assigned,None,,""
I/O Ports,PE7,Not assigned,Not assigned,None,,""
I/O Ports,PF5,PF5/WAIT#/SSILRCK0/IRQ4,9,IO,There is no software initialising this pin,"SONAR0_TRIG"
I/O Ports,PJ3,PJ3/EDACK1/MTIOC3C/CTS6#/RTS6#/SS6#/CTS0#/RTS0#/SS0#/SSITXD0/ET0_EXOUT,13,IO,There is no software initialising this pin,"SONAR2_TRIG"
I/O Ports,PJ5,PJ5/POE8#/CTS2#/RTS2#/SS2#/SSIRXD0/EPLSOUT0,11,IO,There is no software initialising this pin,"SONAR1_TRIG"
I/O Ports,P01,Not assigned,Not assigned,None,,""
I/O Ports,P00,Not assigned,Not assigned,None,,""
I/O Ports,P03,Not assigned,Not assigned,None,,""
I/O Ports,P02,Not assigned,Not assigned,None,,""
I/O Ports,P05,Not assigned,Not assigned,None,,""
I/O Ports,P07,P07/IRQ15/ADTRG0#,144,IO,There is no software initialising this pin,"DBG_RESETn"
I/O Ports,P12,Not assigned,Not assigned,None,,""
I/O Ports,P14,Not assigned,Not assigned,None,,""
I/O Ports,P13,Not assigned,Not assigned,None,,""
I/O Ports,P16,Not assigned,Not assigned,None,,""
I/O Ports,P15,Not assigned,Not assigned,None,,""
I/O Ports,P17,Not assigned,Not assigned,None,,""
I/O Ports,P21,Not assigned,Not assigned,None,,""
I/O Ports,P20,Not assigned,Not assigned,None,,""
I/O Ports,P23,Not assigned,Not assigned,None,,""
I/O Ports,P22,Not assigned,Not assigned,None,,""
I/O Ports,P25,Not assigned,Not assigned,None,,""
I/O Ports,P24,Not assigned,Not assigned,None,,""
I/O Ports,P27,Not assigned,Not assigned,None,,""
I/O Ports,P26,Not assigned,Not assigned,None,,""
I/O Ports,P30,Not assigned,Not assigned,None,,""
I/O Ports,P32,P32/MTIOC0C/TIOCC0/TMO3/PO10/RTCIC2/RTCOUT/POE0#/POE10#/TXD6/SMOSI6/SSDA6/TXD0/SMOSI0/SSDA0/CTX0/USB0_VBUSEN/VSYNC/IRQ2,27,IO,There is no software initialising this pin,"LED0"
I/O Ports,P31,Not assigned,Not assigned,None,,""
I/O Ports,P34,Not assigned,Not assigned,None,,""
I/O Ports,P33,P33/EDREQ1/MTIOC0D/TIOCD0/TMRI3/PO11/POE4#/POE11#/RXD6/SMISO6/SSCL6/RXD0/SMISO0/SSCL0/CRX0/PCKO/IRQ3,26,IO,There is no software initialising this pin,"SONAR3_TRIG"
I/O Ports,P36,Not assigned,Not assigned,None,,""
I/O Ports,P35,Not assigned,Not assigned,None,,""
I/O Ports,P37,Not assigned,Not assigned,None,,""
I/O Ports,P41,Not assigned,Not assigned,None,,""
I/O Ports,P40,Not assigned,Not assigned,None,,""
I/O Ports,P43,Not assigned,Not assigned,None,,""
I/O Ports,P42,Not assigned,Not assigned,None,,""
I/O Ports,P45,Not assigned,Not assigned,None,,""
I/O Ports,P44,Not assigned,Not assigned,None,,""
I/O Ports,P47,Not assigned,Not assigned,None,,""
I/O Ports,P46,Not assigned,Not assigned,None,,""
I/O Ports,P50,Not assigned,Not assigned,None,,""
I/O Ports,P52,P52/RD#/RXD2/SMISO2/SSCL2/SSLB3-A,54,IO,There is no software initialising this pin,"LED5"
I/O Ports,P51,P51/WR1#/BC1#/WAIT#/SCK2/SSLB2-A,55,IO,There is no software initialising this pin,"TEMP_1WIRE"
I/O Ports,P54,P54/TRDATA2/ALE/D1/EDACK0/MTIOC4B/TMCI1/CTS2#/RTS2#/SS2#/CTX1/ET0_LINKSTA,52,IO,There is no software initialising this pin,"LED4"
I/O Ports,P53,Not assigned,Not assigned,None,,""
I/O Ports,P56,P56/CLKOUT25M/EDACK1/MTIOC3C/TIOCA1/SCK7,50,IO,There is no software initialising this pin,"LED2"
I/O Ports,P55,P55/TRDATA3/D0/WAIT#/EDREQ0/MTIOC4D/TMO3/TXD7/SMOSI7/SSDA7/CRX1/ET0_EXOUT/IRQ10,51,IO,There is no software initialising this pin,"LED3"
I/O Ports,P61,Not assigned,Not assigned,None,,""
I/O Ports,P60,Not assigned,Not assigned,None,,""
I/O Ports,P63,Not assigned,Not assigned,None,,""
I/O Ports,P62,Not assigned,Not assigned,None,,""
I/O Ports,P65,Not assigned,Not assigned,None,,""
I/O Ports,P64,Not assigned,Not assigned,None,,""
I/O Ports,P67,Not assigned,Not assigned,None,,""
I/O Ports,P66,Not assigned,Not assigned,None,,""
I/O Ports,P70,Not assigned,Not assigned,None,,""
I/O Ports,P72,Not assigned,Not assigned,None,,""
I/O Ports,P71,Not assigned,Not assigned,None,,""
I/O Ports,P74,Not assigned,Not assigned,None,,""
I/O Ports,P73,Not assigned,Not assigned,None,,""
I/O Ports,P76,Not assigned,Not assigned,None,,""
I/O Ports,P75,Not assigned,Not assigned,None,,""
I/O Ports,P77,Not assigned,Not assigned,None,,""
I/O Ports,P81,Not assigned,Not assigned,None,,""
I/O Ports,P80,Not assigned,Not assigned,None,,""
I/O Ports,P83,Not assigned,Not assigned,None,,""
I/O Ports,P82,Not assigned,Not assigned,None,,""
I/O Ports,P87,P87/MTIOC4C/TIOCA2/GTIOC1B/SMOSI10/SSDA10/TXD10/EPLSOUT1/SDHI_D2-C/PIXD2,39,IO,There is no software initialising this pin,"LED1"
I/O Ports,P86,Not assigned,Not assigned,None,,""
I/O Ports,P90,Not assigned,Not assigned,None,,""
I/O Ports,P92,Not assigned,Not assigned,None,,""
I/O Ports,P91,Not assigned,Not assigned,None,,""
I/O Ports,P93,Not assigned,Not assigned,None,,""
