timestamp_ms,enc0,enc1,enc2,enc3
13.200,1,1,1,1
13.250,1,1,1,1
13.300,1,1,1,1
13.350,1,1,1,1
13.400,1,1,1,1
13.450,0,0,0,0
13.500,0,0,0,0
13.550,0,0,0,0
13.600,0,0,0,0
13.650,0,0,0,0
13.700,0,0,0,0
13.750,0,0,0,0
13.800,0,0,0,0
13.850,1,1,1,1
13.900,1,1,1,1
13.950,1,1,1,1
14.000,1,1,1,1
14.050,1,1,1,1
14.100,1,1,1,1
14.150,1,1,1,1
14.200,1,1,1,1
14.250,0,0,1,0
14.300,0,0,0,0
14.350,0,0,0,0
14.400,0,0,0,0
14.450,0,0,0,0
14.500,0,0,0,0
14.550,0,0,0,0
14.600,0,0,0,0
14.650,0,0,0,0
14.700,1,1,1,1
14.750,1,1,1,1
14.800,1,1,1,1
14.850,1,1,1,1
14.900,1,1,1,1
14.950,1,1,1,1
15.000,1,1,1,1
15.050,1,1,1,1
15.100,0,0,0,0
15.150,0,0,0,0
15.200,0,0,0,0
15.250,0,0,0,0
15.300,0,0,0,0
15.350,0,0,0,0
15.400,0,0,0,0
15.450,0,0,0,0
15.500,0,0,0,0
15.550,1,1,1,1
15.600,1,1,1,1
15.650,1,1,1,1
15.700,1,1,1,1
15.750,1,1,1,1
15.800,1,1,1,1
15.850,1,1,1,1
15.900,1,1,1,1
15.950,0,0,0,0
16.000,0,0,0,0
16.050,0,0,0,0
16.100,0,0,0,0
16.150,0,0,0,0
16.200,0,0,0,0
16.250,0,0,0,0
16.300,0,0,0,0
16.350,1,1,1,1
16.400,1,1,1,1
16.450,1,1,1,1
16.500,1,1,1,1
16.550,1,1,1,1
16.600,1,1,1,1
16.650,1,1,1,1
16.700,1,1,1,1
16.750,1,1,1,1
16.800,0,0,0,0
16.850,0,0,0,0
16.900,0,0,0,0
16.950,0,0,0,0
17.000,0,0,0,0
17.050,0,0,0,0
17.100,0,0,0,0
17.150,0,0,0,0
17.200,1,1,1,1
17.250,1,1,1,1
17.300,1,1,1,1
17.350,1,1,1,1
17.400,1,1,1,1
17.450,1,1,1,1
17.500,1,1,1,1
17.550,1,1,1,1
17.600,0,0,1,0
17.650,0,0,0,0
17.700,0,0,0,0
17.750,0,0,0,0
