timestamp_ms,enc0,enc1,enc2,enc3
13.200,0,1,1,1
13.250,0,1,1,1
13.300,0,1,1,1
13.350,0,1,0,1
13.400,0,1,0,1
13.450,0,1,0,0
13.500,0,1,0,0
13.550,0,1,0,0
13.600,0,0,0,0
13.650,1,0,0,0
13.700,1,0,0,0
13.750,1,0,0,0
13.800,1,0,1,0
13.850,1,0,1,0
13.900,1,0,1,1
13.950,1,0,1,1
14.000,1,0,1,1
14.050,1,1,1,1
14.100,0,1,1,1
14.150,0,1,1,1
14.200,0,1,1,1
14.250,0,1,1,1
14.300,0,1,0,1
14.350,0,1,0,0
14.400,0,1,0,0
14.450,0,1,0,0
14.500,0,0,0,0
14.550,0,0,0,0
14.600,1,0,0,0
14.650,1,0,0,0
14.700,1,0,0,0
14.750,1,0,1,0
14.800,1,0,1,0
14.850,1,0,1,1
14.900,1,0,1,1
14.950,1,0,1,1
15.000,1,1,1,1
15.050,0,1,1,1
15.100,0,1,1,1
15.150,0,1,1,1
15.200,0,1,0,1
15.250,0,1,0,1
15.300,0,1,0,0
15.350,0,1,0,0
15.400,0,1,0,0
15.450,0,0,0,0
15.500,0,0,0,0
15.550,1,0,0,0
15.600,1,0,0,0
15.650,1,0,0,0
15.700,1,0,1,0
15.750,1,0,1,1
15.800,1,0,1,1
15.850,1,0,1,1
15.900,1,0,1,1
15.950,1,1,1,1
16.000,0,1,1,1
16.050,0,1,1,1
16.100,0,1,1,1
16.150,0,1,0,1
16.200,0,1,0,0
16.250,0,1,0,0
16.300,0,1,0,0
16.350,0,1,0,0
16.400,0,0,0,0
16.450,0,0,0,0
16.500,1,0,0,0
16.550,1,0,0,0
16.600,1,0,0,0
16.650,1,0,1,1
16.700,1,0,1,1
16.750,1,0,1,1
16.800,1,0,1,1
16.850,1,0,1,1
16.900,1,1,1,1
16.950,0,1,1,1
17.000,0,1,1,1
17.050,0,1,1,1
17.100,0,1,0,0
17.150,0,1,0,0
17.200,0,1,0,0
17.250,0,1,0,0
17.300,0,1,0,0
17.350,0,0,0,0
17.400,0,0,0,0
17.450,1,0,0,0
17.500,1,0,0,0
17.550,1,0,0,1
17.600,1,0,1,1
17.650,1,0,1,1
17.700,1,0,1,1
17.750,1,0,1,1
17.800,1,0,1,1
17.850,1,1,1,1
17.900,0,1,1,1
17.950,0,1,1,1
18.000,0,1,1,0
18.050,0,1,0,0
18.100,0,1,0,0
18.150,0,1,0,0
18.200,0,1,0,0
18.250,0,1,0,0
18.300,0,0,0,0
18.350,1,0,0,0
18.400,1,0,0,0
18.450,1,0,0,0
18.500,1,0,0,1
18.550,1,0,1,1
18.600,1,0,1,1
18.650,1,0,1,1
18.700,1,0,1,1
18.750,1,0,1,1
18.800,0,1,1,1
18.850,0,1,1,1
18.900,0,1,1,1
18.950,0,1,1,0
19.000,0,1,0,0
19.050,0,1,0,0
19.100,0,1,0,0
19.150,0,1,0,0
19.200,0,1,0,0
19.250,0,0,0,0
19.300,1,0,0,0
19.350,1,0,0,0
19.400,1,0,0,1
19.450,1,0,0,1
19.500,1,0,1,1
19.550,1,0,1,1
19.600,1,0,1,1
19.650,1,0,1,1
19.700,1,0,1,1
19.750,0,1,1,1
19.800,0,1,1,1
19.850,0,1,1,0
19.900,0,1,1,0
19.950,0,1,0,0
20.000,0,1,0,0
20.050,0,1,0,0
20.100,0,1,0,0
20.150,0,1,0,0
20.200,0,1,0,0
20.250,1,0,0,0
20.300,1,0,0,1
20.350,1,0,0,1
20.400,1,0,0,1
20.450,1,0,1,1
20.500,1,0,1,1
20.550,1,0,1,1
20.600,1,0,1,1
20.650,1,0,1,1
20.700,0,0,1,1
20.750,0,1,1,0
20.800,0,1,1,0
20.850,0,1,1,0
20.900,0,1,0,0
20.950,0,1,0,0
21.000,0,1,0,0
21.050,0,1,0,0
21.100,0,1,0,0
21.150,0,1,0,0
21.200,1,0,0,1
21.250,1,0,0,1
21.300,1,0,0,1
21.350,1,0,1,1
21.400,1,0,1,1
21.450,1,0,1,1
21.500,1,0,1,1
21.550,1,0,1,1
21.600,1,0,1,1
21.650,0,0,1,0
21.700,0,1,1,0
21.750,0,1,1,0
21.800,0,1,0,0
21.850,0,1,0,0
21.900,0,1,0,0
21.950,0,1,0,0
22.000,0,1,0,0
22.050,0,1,0,0
22.100,1,1,0,1
22.150,1,0,0,1
22.200,1,0,0,1
22.250,1,0,0,1
22.300,1,0,1,1
22.350,1,0,1,1
22.400,1,0,1,1
22.450,1,0,1,1
22.500,1,0,1,1
22.550,1,0,1,0
22.600,0,0,1,0
22.650,0,1,1,0
22.700,0,1,1,0
22.750,0,1,0,0
22.800,0,1,0,0
22.850,0,1,0,0
22.900,0,1,0,0
22.950,0,1,0,0
23.000,0,1,0,0
23.050,1,1,0,1
23.100,1,1,0,1
23.150,1,0,0,1
23.200,1,0,0,1
23.250,1,0,1,1
23.300,1,0,1,1
23.350,1,0,1,1
23.400,1,0,1,1
23.450,1,0,1,1
23.500,0,0,1,0
23.550,0,0,1,0
23.600,0,1,1,0
23.650,0,1,1,0
23.700,0,1,0,0
23.750,0,1,0,0
23.800,0,1,0,0
23.850,0,1,0,0
23.900,0,1,0,0
23.950,0,1,0,1
24.000,1,1,0,1
24.050,1,0,0,1
24.100,1,0,0,1
24.150,1,0,0,1
24.200,1,0,1,1
24.250,1,0,1,1
24.300,1,0,1,1
24.350,1,0,1,1
24.400,1,0,1,0
24.450,0,0,1,0
24.500,0,0,1,0
24.550,0,1,1,0
24.600,0,1,1,0
24.650,0,1,0,0
24.700,0,1,0,0
24.750,0,1,0,0
24.800,0,1,0,0
24.850,0,1,0,1
24.900,0,1,0,1
24.950,1,1,0,1
25.000,1,0,0,1
25.050,1,0,0,1
25.100,1,0,0,1
25.150,1,0,1,1
25.200,1,0,1,1
25.250,1,0,1,1
25.300,1,0,1,0
25.350,1,0,1,0
25.400,0,0,1,0
25.450,0,0,1,0
25.500,0,1,1,0
25.550,0,1,1,0
25.600,0,1,0,0
25.650,0,1,0,0
25.700,0,1,0,0
25.750,0,1,0,0
25.800,0,1,0,1
25.850,0,1,0,1
25.900,1,1,0,1
25.950,1,1,0,1
26.000,1,0,0,1
26.050,1,0,0,1
26.100,1,0,1,1
26.150,1,0,1,1
26.200,1,0,1,1
26.250,1,0,1,0
26.300,1,0,1,0
26.350,0,0,1,0
26.400,0,0,1,0
26.450,0,0,1,0
26.500,0,1,1,0
26.550,0,1,0,0
26.600,0,1,0,0
26.650,0,1,0,0
26.700,0,1,0,1
26.750,0,1,0,1
26.800,0,1,0,1
26.850,1,1,0,1
26.900,1,1,0,1
26.950,1,0,0,1
27.000,1,0,0,1
27.050,1,0,1,1
27.100,1,0,1,1
27.150,1,0,1,1
27.200,1,0,1,0
27.250,1,0,1,0
27.300,0,0,1,0
27.350,0,0,1,0
27.400,0,0,1,0
27.450,0,1,1,0
27.500,0,1,0,0
27.550,0,1,0,0
27.600,0,1,0,0
27.650,0,1,0,1
27.700,0,1,0,1
27.750,0,1,0,1
27.800,1,1,0,1
27.850,1,1,0,1
27.900,1,0,0,1
27.950,1,0,0,1
28.000,1,0,1,1
28.050,1,0,1,1
28.100,1,0,1,0
28.150,1,0,1,0
28.200,1,0,1,0
28.250,0,0,1,0
28.300,0,0,1,0
28.350,0,0,1,0
28.400,0,1,1,0
28.450,0,1,0,0
28.500,0,1,0,0
28.550,0,1,0,0
28.600,0,1,0,1
28.650,0,1,0,1
28.700,0,1,0,1
28.750,1,1,0,1
28.800,1,1,0,1
28.850,1,0,0,1
28.900,1,0,0,1
28.950,1,0,1,1
29.000,1,0,1,1
29.050,1,0,1,0
29.100,1,0,1,0
29.150,1,0,1,0
29.200,0,0,1,0
29.250,0,0,1,0
29.300,0,0,1,0
29.350,0,1,1,0
29.400,0,1,0,0
29.450,0,1,0,0
29.500,0,1,0,0
29.550,0,1,0,1
29.600,0,1,0,1
29.650,0,1,0,1
29.700,1,1,0,1
29.750,1,1,0,1
29.800,1,0,0,1
29.850,1,0,0,1
29.900,1,0,1,1
29.950,1,0,1,1
30.000,1,0,1,0
30.050,1,0,1,0
30.100,1,0,1,0
30.150,0,0,1,0
30.200,0,0,1,0
30.250,0,0,1,0
30.300,0,1,1,0
30.350,0,1,0,0
30.400,0,1,0,0
30.450,0,1,0,0
30.500,0,1,0,1
30.550,0,1,0,1
30.600,0,1,0,1
30.650,1,1,0,1
30.700,1,1,0,1
30.750,1,0,0,1
30.800,1,0,0,1
30.850,1,0,1,1
30.900,1,0,1,1
30.950,1,0,1,0
31.000,1,0,1,0
31.050,1,0,1,0
31.100,0,0,1,0
31.150,0,0,1,0
31.200,0,0,1,0
31.250,0,1,1,0
31.300,0,1,0,0
31.350,0,1,0,0
31.400,0,1,0,1
31.450,0,1,0,1
31.500,0,1,0,1
31.550,0,1,0,1
31.600,1,1,0,1
31.650,1,1,0,1
31.700,1,0,0,1
31.750,1,0,0,1
31.800,1,0,1,1
31.850,1,0,1,1
31.900,1,0,1,0
31.950,1,0,1,0
32.000,1,0,1,0
32.050,0,0,1,0
32.100,0,0,1,0
32.150,0,0,1,0
32.200,0,1,1,0
32.250,0,1,0,0
