"Reference","Value","Footprint","Description","MANUFACTURER","Manufacturer_Name","Manufacturer_Part_Number","Manufactaurer Part Number","Part Number","DigiKey Part Number","DigiKey Link","DigiKey Price per Unit","Mouser Part Number","Mouser Link","Mouser Price per Unit","LCSC Part","Datasheet","Supplier","QUANTITY","DNP"
"C1","4u7","Capacitor_SMD:C_0805_2012Metric_Pad1.18x1.45mm_HandSolder","Unpolarized capacitor","","","","GRT21BR61H475KE13K","","490-GRT21BR61H475KE13KCT-ND","https://www.digikey.com/short/489t25j9","0.17","81-GRT21BR61H475KE3K","https://mou.sr/48kjQzY","0.17","","~","","1",""
"C2","1u","Capacitor_SMD:C_0603_1608Metric_Pad1.08x0.95mm_HandSolder","Unpolarized capacitor","","","","963-UMK107AB7105KA-T","","587-3247-1-ND","https://www.digikey.com/short/p4m9m2nq","0.08","UMK107AB7105KA-T","https://mou.sr/3TFIthv","0.10","","~","","1",""
"C3","100n","Capacitor_SMD:C_0603_1608Metric_Pad1.08x0.95mm_HandSolder","Unpolarized capacitor","","","","CC0603JRX7R9BB104","","311-1779-1-ND","https://www.digikey.com/short/mnn51wf5","0.10","603-CC603JRX7R9BB104","https://mou.sr/3KIvj2i","0.10","","~","","1",""
"J2","1028585","1028585","Flush-type female connector, 5-position, Socket,  angled, A-coded, PCB mounting, Solder pins","","Phoenix Contact","1028585","","","277-1028585-ND","https://www.digikey.com/short/qb0m95mc","10.08","651-1028585","https://mou.sr/3JIm9TA","13.90","","http://www.phoenixcontact.com/de/produkte/1028585","","1",""
"Q1","ZXMP10A13FTA","ZXMP10A13FTA:SOT96P240X110-3N","100V P-CHANNEL ENHANCEMENT MODE MOSFET","","Diodes Incorporated","ZXMP10A13FTA","ZXMP10A13FTA","","ZXMP10A13FCT-ND","https://www.digikey.com/short/wmq34b83","0.76","522-ZXMP10A13FTA","https://mou.sr/3VB9ofX","0.72","","https://4donline.ihs.com/images/VipMasterIC/IC/DIOD/DIOD-S-A0002238180/DIOD-S-A0002238180-1.pdf?hkey=6D3A4C79FDBF58556ACFDE234799DDF0","","1",""
